asset_id,day,date,weekday,channel_label,account,owner,support_owner,publish_at,production_deadline,review_at,title,asset_required,metric_target,status,landing_url
day01_xiaohongshu,1,2026-06-01,周一,小红书,小红书｜窄门 NarrowGate（待绑定）,内容运营,设计/长图,2026-06-01T21:30,2026-06-01T15:30,2026-06-02T21:30,你不是不自律，你是在逃避一个真问题,封面图；长图正文；首评引导；UTM链接,收藏率>6%，评论>=8，官网点击>=20,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day01_xiaohongshu
day02_douyin,2,2026-06-02,周二,抖音,抖音｜窄门 NarrowGate（待绑定）,短视频运营,剪辑/字幕,2026-06-02T19:30,2026-06-02T13:30,2026-06-03T19:30,30秒测出你的宽门,9:16视频；强钩子字幕；封面标题；置顶评论,3秒留存>55%，评论>=10，主页点击>=25,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day02_douyin
day03_digital_human,3,2026-06-03,周三,数字人,数字人｜窄门导师（待绑定）,数字人制作,音频/后期,2026-06-03T12:20,2026-06-03T06:20,2026-06-04T12:20,数字人导师：你在等准备好，还是在等不用害怕？,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,完播率>30%，私信/线索>=3，脚本可复用,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day03_digital_human
day04_xiaohongshu,4,2026-06-04,周四,小红书,小红书｜窄门 NarrowGate（待绑定）,内容运营,设计/长图,2026-06-04T21:30,2026-06-04T15:30,2026-06-05T21:30,一个成年人最危险的状态：什么都懂，但没有证据,封面图；长图正文；首评引导；UTM链接,收藏率>6%，评论>=8，官网点击>=20,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day04_xiaohongshu
day05_douyin,5,2026-06-05,周五,抖音,抖音｜窄门 NarrowGate（待绑定）,短视频运营,剪辑/字幕,2026-06-05T19:30,2026-06-05T13:30,2026-06-06T19:30,你为什么总在关系里委屈自己,9:16视频；强钩子字幕；封面标题；置顶评论,3秒留存>55%，评论>=10，主页点击>=25,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day05_douyin
day06_digital_human,6,2026-06-06,周六,数字人,数字人｜窄门导师（待绑定）,数字人制作,音频/后期,2026-06-06T12:20,2026-06-06T06:20,2026-06-07T12:20,数字人导师：你今天的窄门问题,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,完播率>30%，私信/线索>=3，脚本可复用,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day06_digital_human
day07_xiaohongshu,7,2026-06-07,周日,小红书,小红书｜窄门 NarrowGate（待绑定）,内容运营,设计/长图,2026-06-07T21:30,2026-06-07T15:30,2026-06-08T21:30,窄门7天体验：每天做一点最不想做但最需要做的事,封面图；长图正文；首评引导；UTM链接,收藏率>6%，评论>=8，官网点击>=20,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day07_xiaohongshu
day08_douyin,8,2026-06-08,周一,抖音,抖音｜窄门 NarrowGate（待绑定）,短视频运营,剪辑/字幕,2026-06-08T19:30,2026-06-08T13:30,2026-06-09T19:30,一个问题判断你是否在自欺,9:16视频；强钩子字幕；封面标题；置顶评论,3秒留存>55%，评论>=10，主页点击>=25,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day08_douyin
day09_digital_human,9,2026-06-09,周二,数字人,数字人｜窄门导师（待绑定）,数字人制作,音频/后期,2026-06-09T12:20,2026-06-09T06:20,2026-06-10T12:20,数字人导师：你的情绪不是敌人,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,完播率>30%，私信/线索>=3，脚本可复用,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day09_digital_human
day10_xiaohongshu,10,2026-06-10,周三,小红书,小红书｜窄门 NarrowGate（待绑定）,内容运营,设计/长图,2026-06-10T21:30,2026-06-10T15:30,2026-06-11T21:30,真正有效的成长工具，都不太舒服,封面图；长图正文；首评引导；UTM链接,收藏率>6%，评论>=8，官网点击>=20,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day10_xiaohongshu
